id,label,part_number,marking,value,package,datasheet_url,confidence
U1,ic,STM32F407,STM32F407VGT6,,LQFP-100,,0.88
U2,ic,W25Q128,W25Q128JVSIQ,128Mbit,SOIC-8,,0.93
C1,capacitor,,100nF,100nF,0402,,0.98
C2,capacitor,,10uF,10uF,0603,,0.88
C3,capacitor,,100nF,100nF,0402,,0.93
R1,resistor,,10k,10k,0402,,0.98
R2,resistor,,4k7,4k7,0402,,0.88
Y1,crystal,ABLS-8.000MHZ-B4-T,8MHz,8MHz,HC-49S,,0.93
J1,connector,,SWD/JTAG,,2x5 2.54mm,,0.98
L1,inductor,,10uH,10uH,1210,,0.88
TP1,test_point,,TP1,,TP,,0.93
TP2,test_point,,TP2,,TP,,0.98
TP3,test_point,,TP3,,TP,,0.88
TP4,test_point,,TP4,,TP,,0.93
