id,label,part_number,marking,value,package,datasheet_url,confidence
U1,ic,AMD Liverpool,Liverpool,,BGA-1170,,0.88
U2,ic,K4B4G1646E-BYK0,K4B4G1646E,4Gb,BGA-78,,0.93
U3,ic,K4B4G1646E-BYK0,K4B4G1646E,4Gb,BGA-78,,0.98
U4,ic,K4B4G1646E-BYK0,K4B4G1646E,4Gb,BGA-78,,0.88
U5,ic,K4B4G1646E-BYK0,K4B4G1646E,4Gb,BGA-78,,0.93
U6,ic,MN864729,MN864729,,QFP-80,,0.98
U7,ic,KLMBG4GEAC-B001,KLMBG4GEAC,8GB,BGA-153,,0.88
U8,ic,88W8897-NNB2,88W8897,,QFN-68,,0.93
U9,ic,88EC060-NNB2,88EC060,,QFN-56,,0.98
U10,ic,NCP81174,NCP81174,,QFN-52,,0.88
U11,ic,IR3553,IR3553,,PQFN-25,,0.93
U12,ic,TMDS442,TMDS442,,QFP-48,,0.98
J1,connector,,HDMI,,HDMI-A,,0.88
J2,connector,,USB3.0,,USB-A,,0.93
J3,connector,,USB3.0,,USB-A,,0.98
J4,connector,,RJ45,,RJ45,,0.88
J5,connector,,JTAG,,2x7 1.27mm,,0.93
C1,capacitor,,100nF,100nF,0402,,0.98
C2,capacitor,,100nF,100nF,0402,,0.88
C3,capacitor,,10uF,10uF,0805,,0.93
C4,capacitor,,100nF,100nF,0402,,0.98
C5,capacitor,,22uF,22uF,0805,,0.88
C6,capacitor,,100nF,100nF,0402,,0.93
R1,resistor,,10k,10k,0402,,0.98
R2,resistor,,4k7,4k7,0402,,0.88
R3,resistor,,100,100,0402,,0.93
L1,inductor,,1uH,1uH,1210,,0.98
L2,inductor,,1uH,1uH,1210,,0.88
Y1,crystal,ABLS-25.000MHZ,25MHz,25MHz,HC-49S,,0.93
TP1,test_point,,TP1,,TP,,0.98
TP2,test_point,,TP2,,TP,,0.88
TP3,test_point,,TP3,,TP,,0.93
TP4,test_point,,TP4,,TP,,0.98
TP5,test_point,,TP5,,TP,,0.88
